"BRC_NAMES","BRC_NUMBER","AMALG_BRC_NAME","AMALG_BRC_CODE","GROWTH_FORM"
"Abies alba",9202395,"Abies sp.",9204658,"w"
"Abies grandis",9202396,"Abies sp.",9204658,"w"
"Abies procera",9202397,"Abies sp.",9204658,"w"
"Abies sp.",9204658,"Abies sp.",9204658,"w"
"Acer campestre",9203,"Acer campestre",9203,"w"
"Acer platanoides",9204,"Acer platanoides",9204,"w"
"Acer pseudoplatanus",9205,"Acer pseudoplatanus",9205,"w"
"Acer seedling/sp",9204661,"Acer seedling/sp",9204661,"w"
"Acer sp.",200001601,"Acer seedling/sp",9204661,"w"
"Achillea millefolium",9207,"Achillea millefolium",9207,"f"
"Achillea ptarmica",9209,"Achillea ptarmica",9209,"f"
"Aconitum napellus",92014,"Aconitum napellus",92014,"f"
"Actaea spicata",92016,"Actaea spicata",92016,"f"
"Adoxa moschatellina",92019,"Adoxa moschatellina",92019,"f"
"Aegopodium podagraria",92020,"Aegopodium podagraria",92020,"f"
"Aesculus hippocastanum",9202241,"Aesculus hippocastanum",9202241,"w"
"Agrimonia eupatoria",92022,"Agrimonia eupatoria",92022,"f"
"Agrostis canina sens.lat.",92035,"Agrostis canina sens.lat.",92035,"g"
"Agrostis canina sens.str.",92035.2,"Agrostis canina sens.lat.",92035,"g"
"Agrostis capillaris",92040,"Agrostis capillaris",92040,"g"
"Agrostis curtisii",92038,"Agrostis curtisii",92038,"g"
"Agrostis gigantea",92036,"Agrostis gigantea",92036,"g"
"Agrostis sp.",9204579,"Agrostis sp.",9204579,"g"
"Agrostis stolonifera",92039,"Agrostis stolonifera",92039,"g"
"Agrostis vinealis",92035.1,"Agrostis vinealis",92035.1,"g"
"Aira praecox",92042,"Aira praecox",92042,"g"
"Ajuga reptans",92046,"Ajuga reptans",92046,"f"
"Alcea rosea",92088,"Alcea rosea",92088,"f"
"Alchemilla alpina",92048,"Alchemilla alpina",92048,"f"
"Alchemilla filicaulis",9204480,"Alchemilla filicaulis",9204480,"f"
"Alchemilla glabra",92051,"Alchemilla glabra",92051,"f"
"Alchemilla mollis",9202255,"Alchemilla mollis",9202255,"f"
"Alchemilla sp.",9204679,"Alchemilla sp.",9204679,"f"
"Alchemilla vulgaris agg.",92058,"Alchemilla vulgaris agg.",92058,"f"
"Alisma plantago-aquatica",92063,"Alisma plantago-aquatica",92063,"aq"
"Alliaria petiolata",92064,"Alliaria petiolata",92064,"f"
"Allium ampeloprasum",9208283,"Allium ampeloprasum",9208283,"f"
"Allium cepa",9209184,"Allium cepa",9209184,"m"
"Allium paradoxum",92069,"Allium paradoxum",92069,"f"
"Allium roseum",92070,"Allium roseum",92070,"f"
"Allium ursinum",92075,"Allium ursinum",92075,"m"
"Alnus glutinosa",92077,"Alnus glutinosa",92077,"w"
"Alnus sp.",200001602,"Alnus sp.",200001602,"w"
"Alopecurus bulbosus",92081,"Alopecurus bulbosus",92081,"g"
"Alopecurus geniculatus",92082,"Alopecurus geniculatus",92082,"g"
"Alopecurus myosuroides",92084,"Alopecurus myosuroides",92084,"g"
"Alopecurus pratensis",92085,"Alopecurus pratensis",92085,"g"
"Althaea officinalis",92087,"Althaea officinalis",92087,"f"
"Amblystegium riparium",820366,"Amblystegium riparium",820366,"b"
"Amblystegium serpens",82019,"Amblystegium serpens",82019,"b"
"Anacamptis pyramidalis",92098,"Anacamptis pyramidalis",92098,"m"
"Anagallis arvensis",92099,"Anagallis arvensis",92099,"f"
"Anagallis minima",920456,"Anagallis minima",920456,"f"
"Anagallis tenella",920100,"Anagallis tenella",920100,"f"
"Anaphalis margaritacea",920101,"Anaphalis margaritacea",920101,"b"
"Anastrepta orcadensis",810683,"Anastrepta orcadensis",810683,"b"
"Anastrophyllum minutum",810952,"Anastrophyllum minutum",810952,"b"
"Anchusa arvensis",9201218,"Anchusa arvensis",9201218,"f"
"Andraea sp",200001442,"Andraea sp",200001442,"b"
"Anemone nemorosa",920105,"Anemone nemorosa",920105,"f"
"Aneura pinguis",810901,"Aneura pinguis",810901,"b"
"Angelica archangelica",920108,"Angelica archangelica",920108,"f"
"Angelica sylvestris",920109,"Angelica sylvestris",920109,"f"
"Anisantha sterilis",920113,"Anisantha sterilis",920113,"g"
"Anthoxanthum aristatum",920122,"Anthoxanthum aristatum",920122,"g"
"Anthoxanthum odoratum",920121,"Anthoxanthum odoratum",920121,"g"
"Anthriscus sylvestris",920125,"Anthriscus sylvestris",920125,"f"
"Aphanes arvensis agg.",920131,"Aphanes arvensis agg.",920131,"f"
"Aphanes arvensis sens.str.",920132,"Aphanes arvensis agg.",920131,"f"
"Aphanes inexspectata",920133,"Aphanes arvensis agg.",920131,"f"
"Apium graveolens",920134,"Apium graveolens",920134,"f"
"Apium nodiflorum",920137,"Apium nodiflorum",920137,"f"
"Aquilegia vulgaris",920141,"Aquilegia vulgaris",920141,"f"
"Arabidopsis thaliana",920142,"Arabidopsis thaliana",920142,"f"
"Arabis hirsuta",920146,"Arabis hirsuta",920146,"f"
"Arabis scabra",920147,"Arabis scabra",920147,"f"
"Arbutus unedo",920149,"Arbutus unedo",920149,"w"
"Arctium agg.",920150,"Arctium agg.",920150,"f"
"Arctium lappa",920151,"Arctium agg.",920150,"f"
"Arctium minus",9202405,"Arctium agg.",920150,"f"
"Arctostaphylos uva-ursi",920155,"Arctostaphylos uva-ursi",920155,"w"
"Arenaria ciliata",920158,"Arenaria ciliata",920158,"f"
"Arenaria norvegica subsp.norvegica",920160,"Arenaria norvegica subsp.norvegica",920160,"f"
"Arenaria serpyllifolia",920162,"Arenaria serpyllifolia",920162,"f"
"Arrhenatherum elatius",920169,"Arrhenatherum elatius",920169,"g"
"Artemisia vulgaris",920175,"Artemisia vulgaris",920175,"f"
"Arum maculatum",920176,"Arum maculatum",920176,"m"
"Asplenium adiantum-nigrum",910185.1,"Asplenium adiantum-nigrum",910185.1,"fe"
"Asplenium ruta-muraria",910192,"Asplenium ruta-muraria",910192,"fe"
"Asplenium sp.",9104623,"Asplenium sp.",9104623,"fe"
"Asplenium trichomanes",910194,"Asplenium trichomanes",910194,"fe"
"Aster lanceolatus x novi-belgii (A. x salignus)",920203,"Aster lanceolatus x novi-belgii (A. x salignus)",920203,"f"
"Aster novae-angliae",920200,"Aster novae-angliae",920200,"f"
"Aster tripolium",920204,"Aster tripolium",920204,"f"
"Athyrium distentifolium",910210,"Athyrium distentifolium",910210,"fe"
"Athyrium filix-femina",910211,"Athyrium filix-femina",910211,"fe"
"Athyrium sp.",200001606,"Athyrium sp.",200001606,"fe"
"Atrichum sp.",200001537,"Atrichum sp.",200001537,"b"
"Atrichum undulatum",82040,"Atrichum undulatum",82040,"b"
"Atriplex patula",920218,"Atriplex patula",920218,"f"
"Atropa belladonna",920219,"Atropa belladonna",920219,"f"
"Aulacomnium palustre",82042,"Aulacomnium palustre",82042,"b"
"Avena fatua",920220,"Avena fatua",920220,"g"
"Avena sativa",9202988,"Avena sativa",9202988,"g"
"Azalea spp.",200001691,"Azalea spp.",200001691,"f"
"Barbarea vulgaris",920229,"Barbarea vulgaris",920229,"f"
"Barbilophozia sp.",200001452,"Barbilophozia sp.",200001452,"b"
"Barbula convoluta",82045,"Barbula convoluta",82045,"b"
"Barbula cylindrica",82047,"Barbula cylindrica",82047,"b"
"Barbula sp",200001005,"Barbula sp",200001005,"b"
"Bare ground",20000887.4,"Bare ground",20000887.4,""
"Bare ground/litter/water/rock/mud",20000887.1,"Bare ground",20000887.4,""
"Bazzania sp",200001088,"Bazzania sp",200001088,"b"
"Bazzania tricrenata",810701,"Bazzania tricrenata",810701,"b"
