BRC_NAME,BRC_NUMBER,AMALG_BRC_NAME,AMALG_BRC_CODE,SouthWest,South,SouthEast,East,WalesandNW,NorthernIreland,Scotland,NorthEast,EastMidlands
Aconitum napellus,92014,Aconitum napellus,92014,Y,,,,,,,,
Adoxa moschatellina,92019,Adoxa moschatellina,92019,Y,Y,Y,Y,Y,,Y,Y,Y
Ajuga reptans,92046,Ajuga reptans,92046,,,,,,Y,,Y,
Alchemilla filicaulis,9204480,Alchemilla filicaulis,9204480,,,,Y,,,,,
Allium ursinum,92075,Allium ursinum,92075,Y,Y,Y,Y,Y,,Y,Y,Y
Anagallis minima,920456,Anagallis minima,920456,,,Y,,,,,,
Anemone nemorosa,920105,Anemone nemorosa,920105,Y,Y,Y,Y,Y,Y,,Y,Y
Athyrium filix-femina,910211,Athyrium filix-femina,910211,,,,,,,,,
Blechnum spicant,910244,Blechnum spicant,910244,Y,Y,Y,Y,Y,Y,,,
Brachypodium sylvaticum,920250,Brachypodium sylvaticum,920250,,,,,,Y,Y,Y,Y
Bromopsis benekenii,920259,Bromopsis benekenii,920259,,,,,,,Y,,
Bromopsis ramosa,920272,Bromopsis ramosa,920272,Y,Y,Y,Y,Y,,Y,Y,Y
Calamagrostis canescens,920292,Calamagrostis canescens,920292,,,,Y,,,,Y,Y
Calamagrostis epigejos,920293,Calamagrostis epigejos,920293,Y,Y,Y,Y,Y,,,,Y
Campanula latifolia,920316,Campanula latifolia,920316,,,,Y,Y,,,Y,Y
Campanula patula,NA,NA,NA,,,,,,,,,
Campanula trachelium,920323,Campanula trachelium,920323,Y,Y,Y,Y,Y,,,Y,Y
Cardamine amara,920327,Cardamine amara,920327,,Y,Y,Y,Y,,,,Y
Cardamine impatiens,920330,Cardamine impatiens,920330,,,,,,,Y,,Y
Carex digitata,920364,Carex digitata,920364,,,,,,,,,Y
Carex elongata,NA,NA,NA,,,,,,,,,
Carex laevigata,920385,Carex laevigata,920385,Y,Y,Y,Y,Y,,,Y,Y
Carex montana,NA,NA,NA,,,,,,,,,
Carex pallescens,920399,Carex pallescens,920399,Y,Y,Y,Y,Y,,,Y,Y
Carex paniculata,920401,Carex paniculata,920401,,,,,,,,Y,
Carex pendula,920404,Carex pendula,920404,Y,Y,Y,Y,Y,,Y,Y,Y
Carex remota,920412,Carex remota,920412,Y,Y,Y,Y,Y,Y,Y,Y,Y
Carex strigosa,920420,Carex strigosa,920420,Y,Y,Y,Y,,,,,Y
Carex sylvatica,920421,Carex sylvatica,920421,Y,Y,Y,Y,Y,Y,Y,Y,Y
Carpinus betulus,920428,Carpinus betulus,920428,,Y,Y,Y,,,,,
